Hotels,Hotels URL,Hotel addresses,Hotels descriptions,Hotels opinions,Hotels ratings,Price,lepetitplus
port cros,https://www.booking.com/hotel/fr/port-cros-hyeres.fr.html?label=gen173nr-1FCAQoggJCGXNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AsGlsp4GwAIB0gIkYTYwMGM2ZWYtMWViNS00N2YzLWE3YTEtNjA1NGU0OGMwMTBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=21&hapos=21&sr_order=popularity&srpvid=214114a0edee001b&srepoch=1674356162&all_sr_blocks=832641701_348535535_6_0_0&highlighted_blocks=832641701_348535535_6_0_0&matching_block_id=832641701_348535535_6_0_0&sr_pri_blocks=832641701_348535535_6_0_0__649250&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Hyères,"Appartement 2 Chambres Appartement entier • 2 chambres • 1 salon • 2 salles de bains • 1 cuisine • 120m² 3 lits (1 lit double, 1 canapé-lit, 1 grand lit double)",Bien,"7,0",6 493,"12,1 km de : Bormes-les-MimosasPlage à proximité"
Villa Pétale de Rose,https://www.booking.com/hotel/fr/villa-petale-de-rose.fr.html?label=gen173nr-1FCAQoggJCGXNlYXJjaF9ib3JtZXMgbGVzIG1pbW9zYXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AsGlsp4GwAIB0gIkYTYwMGM2ZWYtMWViNS00N2YzLWE3YTEtNjA1NGU0OGMwMTBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1413801&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=22&hapos=22&sr_order=popularity&srpvid=214114a0edee001b&srepoch=1674356162&all_sr_blocks=635000001_361620671_0_0_0&highlighted_blocks=635000001_361620671_0_0_0&matching_block_id=635000001_361620671_0_0_0&sr_pri_blocks=635000001_361620671_0_0_0__164900&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cavalaire-sur-Mer,"Villa Villa entière • 4 chambres • 2 salles de bains • 1 cuisine • 180m² 4 lits (1 très grand lit double, 3 grands lits doubles)",Très bien,"8,3",1 649,"13,8 km de : Bormes-les-Mimosas"
Le Duplex,https://www.booking.com/hotel/fr/le-duplex-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=1&hapos=1&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=167085801_166397762_4_0_0&highlighted_blocks=167085801_166397762_4_0_0&matching_block_id=167085801_166397762_4_0_0&sr_pri_blocks=167085801_166397762_4_0_0__82464&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"Appartement avec Terrasse Appartement entier • 2 chambres • 1 salle de bains • 1 cuisine • 50m² 2 lits (1 lit double, 1 grand lit double)",Très bien,"8,2",825,"300 m du centre, Plage à proximité"
LOU CIGALOU,https://www.booking.com/hotel/fr/lou-cigalou-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=2&hapos=2&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=457098801_277216151_6_0_0&highlighted_blocks=457098801_277216151_6_0_0&matching_block_id=457098801_277216151_6_0_0&sr_pri_blocks=457098801_277216151_6_0_0__174580&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"Maison 3 Chambres Maison de vacances entière • 3 chambres • 1 salon • 2 salles de bains • 1 cuisine • 80m² 5 lits (1 lit double, 2 lits superposés, 1 canapé-lit, 1 grand lit double)",Fabuleux,"9,0",1 746,"350 m du centre, Plage à proximité"
Cassis centre,https://www.booking.com/hotel/fr/cassis-centre.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=3&hapos=3&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=248717001_240249235_4_0_6047313952768&highlighted_blocks=248717001_240249235_4_0_6047313952768&matching_block_id=248717001_240249235_4_0_6047313952768&sr_pri_blocks=248717001_240249235_4_0_6047313952768__142423&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"Appartement - Vue sur Mer Appartement entier • 3 chambres • 1 salon • 1 salle de bains • 1 cuisine • 78m² 6 lits (4 lits simples, 1 lit double, 1 canapé-lit)",Superbe,"8,7",1 424,"250 m du centre, Plage à proximité"
Villavos- Le Bocage,https://www.booking.com/hotel/fr/le-bocage-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=4&hapos=4&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=199684301_339231831_5_0_0&highlighted_blocks=199684301_339231831_5_0_0&matching_block_id=199684301_339231831_5_0_0&sr_pri_blocks=199684301_339231831_5_0_0__101890&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"Villa Villa entière • 4 chambres • 1 salon • 4 salles de bains • 1 cuisine • 210m² 12 lits (6 lits simples, 2 très grands lits doubles, 3 lits superposés, 1 grand lit double)",Superbe,"8,8",1 019,2 km du centre
Villa Cassis,https://www.booking.com/hotel/fr/villa-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=5&hapos=5&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=40792302_356977884_0_0_0%2C40792301_356977884_2_0_0&highlighted_blocks=40792302_356977884_0_0_0%2C40792301_356977884_2_0_0&matching_block_id=40792302_356977884_0_0_0&sr_pri_blocks=40792302_356977884_0_0_0__82400%2C40792301_356977884_2_0_0__70720&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,1× Studio 1 grand lit double,Fabuleux,"9,2",1 531,"1 km du centre, Plage à proximité"
studio Cassis Rastit,https://www.booking.com/hotel/fr/studio-cassis-rastit.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=6&hapos=6&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=662999001_271828603_6_0_0&highlighted_blocks=662999001_271828603_6_0_0&matching_block_id=662999001_271828603_6_0_0&sr_pri_blocks=662999001_271828603_6_0_0__109810&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"1× Studio avec Canapé-Lit Studio entier • 1 salle de bains • 30m² 2 lits (1 canapé-lit, 1 grand lit double)",Très bien,"8,1",1 098,"50 m du centre, Plage à proximité"
Royal Cottage,https://www.booking.com/hotel/fr/royal-cottage.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=7&hapos=7&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=2428101_346949938_0_2_0%2C2428101_346949938_0_2_0%2C2428101_346949938_0_2_0&highlighted_blocks=2428101_346949938_0_2_0%2C2428101_346949938_0_2_0%2C2428101_346949938_0_2_0&matching_block_id=2428101_346949938_0_2_0&sr_pri_blocks=2428101_346949938_0_2_0__91210%2C2428101_346949938_0_2_0__91210%2C2428101_346949938_0_2_0__91210&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"Appartement Appartement entier • 2 chambres • 1 salon • 1 salle de bains • 1 cuisine • 47m² 3 lits (1 canapé-lit, 2 grands lits doubles)",Très bien,"8,2",2 736,"500 m du centre, Plage à proximité"
HôTEL LES VOLETS ROUGES - CASSIS,https://www.booking.com/hotel/fr/du-joli-bois-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=8&hapos=8&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=165893611_363295456_0_2_0%2C165893604_363295456_2_2_0%2C165893604_363295456_2_2_0&highlighted_blocks=165893611_363295456_0_2_0%2C165893604_363295456_2_2_0%2C165893604_363295456_2_2_0&matching_block_id=165893611_363295456_0_2_0&sr_pri_blocks=165893611_363295456_0_2_0__88340%2C165893604_363295456_2_2_0__113120%2C165893604_363295456_2_2_0__113120&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,3× Chambre Double Supérieure avec Terrasse 3 très grands lits doubles,Superbe,"8,6",3 146,"3 km du centre, Plage à proximité"
Villa Talabar,https://www.booking.com/hotel/fr/villa-talabar.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=9&hapos=9&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=718130403_367252332_12_1_0&highlighted_blocks=718130403_367252332_12_1_0&matching_block_id=718130403_367252332_12_1_0&sr_pri_blocks=718130403_367252332_12_1_0__840000&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,1× Grande Chambre Double ou Lits Jumeaux sans Terrasse Types de lits : 1 lit double ou 2 lits simples,Exceptionnel,10,8 400,"0,6 km du centre, Plage à proximité"
Magnifique vue baie et Cap Canaille Parking/Piscine,https://www.booking.com/hotel/fr/magnifique-vue-baie-et-cap-canaille-parking-47-piscine.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=10&hapos=10&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=642367001_277216147_4_0_0&highlighted_blocks=642367001_277216147_4_0_0&matching_block_id=642367001_277216147_4_0_0&sr_pri_blocks=642367001_277216147_4_0_0__233964&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,2× Chambre Quadruple avec Terrasse Plusieurs types de lits,Superbe,"8,9",2 340,"0,7 km du centre, Plage à proximité"
Mirabeau - Chambre Meublée,https://www.booking.com/hotel/fr/mirabeau-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=11&hapos=11&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=206585603_246656339_3_0_0%2C206585601_246656339_2_0_0&highlighted_blocks=206585603_246656339_3_0_0%2C206585601_246656339_2_0_0&matching_block_id=206585603_246656339_3_0_0&sr_pri_blocks=206585603_246656339_3_0_0__149813%2C206585601_246656339_2_0_0__127042&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"Villa Deluxe Villa entière • 5 chambres • 6 salles de bains • 1 cuisine • 250m² 8 lits (4 lits superposés, 4 grands lits doubles)",Très bien,"8,0",2 769,30 m du centre
Domaine Maraspar Cassis,https://www.booking.com/hotel/fr/domaine-maraspar-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=12&hapos=12&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=738504004_328381837_6_0_0&highlighted_blocks=738504004_328381837_6_0_0&matching_block_id=738504004_328381837_6_0_0&sr_pri_blocks=738504004_328381837_6_0_0__423500&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"Appartement 3 Chambres Appartement entier • 3 chambres • 1 salon • 2 salles de bains • 1 cuisine • 90m² 4 lits (2 lits simples, 1 lit double, 1 grand lit double)","Très bien 8,0","7,5",4 235,"1,3 km du centre, Plage à proximité"
Appartement meublé Bellevue,https://www.booking.com/hotel/fr/appartement-bellevue-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=13&hapos=13&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=207024501_348861430_4_0_0%2C207024503_348861430_2_0_0&highlighted_blocks=207024501_348861430_4_0_0%2C207024503_348861430_2_0_0&matching_block_id=207024501_348861430_4_0_0&sr_pri_blocks=207024501_348861430_4_0_0__152084%2C207024503_348861430_2_0_0__141542&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,1× Chambre Double 1 très grand lit double,Bien,"8,6",2 936,50 m du centre
Le Jardin d'Emile,https://www.booking.com/hotel/fr/le-jardin-d-emile.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=14&hapos=14&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=27453607_91917268_14_2_0&highlighted_blocks=27453607_91917268_14_2_0&matching_block_id=27453607_91917268_14_2_0&sr_pri_blocks=27453607_91917268_14_2_0__654775&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Cassis,"1× Studio - Vue sur Mer Studio entier • 1 salle de bains • 45m² 2 lits (1 très grand lit double, 1 canapé-lit)",Superbe,"7,9",6 548,"300 m du centre, Plage à proximité"
Villa piscine proche cassis,https://www.booking.com/hotel/fr/villa-piscine-proche-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=15&hapos=15&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=914235301_362818588_12_0_0&highlighted_blocks=914235301_362818588_12_0_0&matching_block_id=914235301_362818588_12_0_0&sr_pri_blocks=914235301_362818588_12_0_0__360500&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,Roquefort-la-Bédoule,Maison de Vacances Maison de vacances entière • 3 chambres • 2 salles de bains • 300m² 3 grands lits doubles,Bien,"8,1",3 605,"4,9 km de : Cassis"
Camping Aux Portes De Cassis,https://www.booking.com/hotel/fr/camping-aux-portes-de-cassis.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=16&hapos=16&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=141787603_326758772_4_0_0%2C141787603_326758772_4_0_0&highlighted_blocks=141787603_326758772_4_0_0%2C141787603_326758772_4_0_0&matching_block_id=141787603_326758772_4_0_0&sr_pri_blocks=141787603_326758772_4_0_0__93800%2C141787603_326758772_4_0_0__93800&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,La Bédoule,1× Appartement - sans Terrasse - Vue sur Mer Appartement entier • 2 chambres • 1 salon • 1 salle de bains • 1 cuisine • 75m² 2 grands lits doubles,Très bien,10,1 876,"4,5 km de : Cassis"
Moxy La Ciotat,https://www.booking.com/hotel/fr/moxy-la-ciotat.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=17&hapos=17&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=765538301_348353272_0_2_0%2C765538301_348353272_0_2_0%2C765538301_348353272_0_2_0&highlighted_blocks=765538301_348353272_0_2_0%2C765538301_348353272_0_2_0%2C765538301_348353272_0_2_0&matching_block_id=765538301_348353272_0_2_0&sr_pri_blocks=765538301_348353272_0_2_0__72324%2C765538301_348353272_0_2_0__72324%2C765538301_348353272_0_2_0__72324&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,La Ciotat,"1× Appartement - sans Terrasse - Vue sur Mer Appartement entier • 2 chambres • 1 salon • 1 salle de bains • 1 cuisine • 75m² 3 lits (1 canapé-lit, 2 grands lits doubles)",Exceptionnel,"7,2",2 170,"5,3 km de : CassisPlage à proximité"
Maison d’hotes privatisée,https://www.booking.com/hotel/fr/maison-d-hotes-privatisee.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=18&hapos=18&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=937451101_365956396_5_0_0&highlighted_blocks=937451101_365956396_5_0_0&matching_block_id=937451101_365956396_5_0_0&sr_pri_blocks=937451101_365956396_5_0_0__99750&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,La Ciotat,"Maison de Vacances Maison de vacances entière • 7 chambres • 2 salons • 7 salles de bains 12 lits (4 lits simples, 1 lit double, 3 canapés-lits, 4 grands lits doubles)",Bien,"8,6",998,"5,9 km de : CassisPlage à proximité"
ibis La Ciotat,https://www.booking.com/hotel/fr/ibis-la-ciotat.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=19&hapos=19&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=5430309_243590990_2_2_0%2C5430309_243590990_2_2_0%2C5430309_243590990_2_2_0&highlighted_blocks=5430309_243590990_2_2_0%2C5430309_243590990_2_2_0%2C5430309_243590990_2_2_0&matching_block_id=5430309_243590990_2_2_0&sr_pri_blocks=5430309_243590990_2_2_0__73605%2C5430309_243590990_2_2_0__73605%2C5430309_243590990_2_2_0__73605&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl,La Ciotat,Villa 1 Chambre Villa entière • 1 chambre • 3 salles de bains • 180m² 1 lit double,Superbe,"7,5",2 208,"5,3 km de : CassisPlage à proximité"
Maison 3 chambres a 3mn du port proche des calanques,https://www.booking.com/hotel/fr/maison-a-3mn-du-port-proche-des-calanques.fr.html?label=gen173nr-1FCAQoggJCDXNlYXJjaF9jYXNzaXNIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQOIAgGoAgO4AuKlsp4GwAIB0gIkMzM0MjQyMWUtNzc2NS00OTY0LWJlYWYtNDg5MmQxZWU4MDMx2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-01-22&checkout=2023-01-29&dest_id=-1416912&dest_type=city&group_adults=3&req_adults=3&no_rooms=3&group_children=2&req_children=2&age=5&req_age=5&age=15&req_age=15&hpos=20&hapos=20&sr_order=popularity&srpvid=920014a7440c0076&srepoch=1674356176&all_sr_blocks=860719001_353961281_5_0_0&highlighted_blocks=860719001_353961281_5_0_0&matching_block_id=860719001_353961281_5_0_0&sr_pri_blocks=860719001_353961281_5_0_0__121275&from_beach_sr=1&from=searchresults&map_fdco=1#hotelTmpl,La Ciotat,"2× Mobile Home 2 Chambres (4 Adultes) - 29 m² 2 mobile homes • 4 chambres • 2 salons • 2 salles de bains • 2 cuisines 6 lits (4 lits simples, 2 lits doubles)",Bien,"8,3",1 213,"6,9 km de : CassisPlage à proximité"
